,규모,면적,신축년도,용도지역,주소
484,지상5/지하0,604㎡,2013년 06월 21일,2종일주,광주광역시 북구 운암동 876-7
485,지상3/지하1,"1,301.2㎡",1984년 11월 28일,2종일주,광주광역시 북구 운암동 483-2
486,지상2/지하1,610.9㎡,1980년 04월 04일,2종일주,광주광역시 북구 운암동 480-7
487,지상3/지하1,411.6㎡,1983년 02월 12일,근린상업,광주광역시 북구 운암동 447-5
488,지상3/지하0,957.1㎡,1983년 02월 08일,2종일주,광주광역시 북구 운암동 491-5
489,지상2/지하0,"1,108.4㎡",1984년 08월 09일,2종일주,광주광역시 북구 운암동 423-7
490,지상5/지하0,925.3㎡,2012년 09월 21일,준주거,광주광역시 북구 중흥동 648-11
491,지상3/지하0,926㎡,1983년 07월 07일,준주거,광주광역시 북구 중흥동 689-1
492,지상6/지하1,397㎡,2013년 10월 08일,일반상업,광주광역시 북구 중흥동 710-25
493,지상3/지하0,916.7㎡,1983년 07월 07일,준주거,광주광역시 북구 중흥동 689-6
494,지상3/지하1,549㎡,1984년 01월 14일,준주거,광주광역시 북구 중흥동 599-118
495,지상3/지하0,674.8㎡,1983년 01월 10일,준주거,광주광역시 북구 중흥동 599-52
496,지상3/지하0,456.3㎡,1982년 12월 21일,준주거,광주광역시 북구 중흥동 599-24
497,지상4/지하1,554.2㎡,1982년 09월 28일,2종일주,광주광역시 북구 중흥동 339-1
498,지상5/지하0,816.5㎡,2012년 09월 24일,1종일주,광주광역시 북구 중흥동 320-13
499,지상3/지하0,798.9㎡,1983년 06월 17일,준주거,광주광역시 북구 중흥동 599-48
500,지상3/지하0,906.3㎡,1981년 10월 27일,준주거,광주광역시 북구 중흥동 599-28
501,지상3/지하0,"3,368㎡",1985년 03월 23일,2종일주,광주광역시 남구 지석동 411-15
502,지상3/지하0,"1,170.9㎡",1983년 12월 14일,준주거,광주광역시 북구 신안동 483-3
503,지상6/지하0,710㎡,2012년 01월 18일,3종일주,광주광역시 북구 신안동 353-16
504,지상3/지하1,859.4㎡,1983년 10월 18일,준주거,광주광역시 북구 신안동 480-8
505,지상3/지하0,"1,032.7㎡",1983년 12월 13일,1종일주,광주광역시 북구 신안동 253-10
506,지상3/지하0,600.7㎡,1985년 09월 16일,준주거,광주광역시 북구 신안동 477-5
507,지상3/지하1,529.5㎡,1983년 12월 09일,1종일주,광주광역시 북구 신안동 260-19
508,지상3/지하0,682.1㎡,1983년 12월 08일,1종일주,광주광역시 북구 신안동 260-7
509,지상3/지하1,521.3㎡,1983년 08월 23일,준주거,광주광역시 북구 신안동 251-4
510,지상3/지하1,464.1㎡,1983년 04월 19일,2종일주,광주광역시 북구 신안동 212-7
511,지상5/지하0,410.3㎡,2012년 11월 07일,일반상업,광주광역시 북구 신안동 145-1
512,지상3/지하1,761.9㎡,1983년 03월 29일,준주거,광주광역시 북구 우산동 518-85
513,지상3/지하0,464.2㎡,1982년 09월 09일,준주거,광주광역시 북구 우산동 518-71
514,지상3/지하1,768.4㎡,1983년 11월 17일,2종일주,광주광역시 북구 우산동 204-2
515,지상3/지하0,314㎡,1983년 10월 27일,2종일주,광주광역시 북구 우산동 27-16
516,지상3/지하0,408.8㎡,1983년 10월 27일,2종일주,광주광역시 북구 우산동 15
517,지상4/지하1,804㎡,1995년 12월 20일,준주거,광주광역시 북구 용봉동 1039-2
518,지상4/지하1,239㎡,1997년 04월 30일,2종일주,광주광역시 북구 용봉동 3-44
519,지상7/지하1,775.7㎡,2014년 10월 31일,2종일주,광주광역시 북구 용봉동 1349-1
520,지상4/지하1,524㎡,1996년 04월 15일,1종일주,광주광역시 북구 용봉동 143-1
521,지상7/지하1,643.7㎡,2014년 10월 31일,2종일주,광주광역시 북구 용봉동 1349-4
522,지상5/지하0,"1,914㎡",2014년 07월 24일,2종일주,광주광역시 남구 지석동 325-18
523,지상2/지하0,"1,166.2㎡",1980년 11월 03일,2종일주,광주광역시 남구 봉선동 936-7
524,지상3/지하1,880㎡,1983년 06월 17일,2종일주,광주광역시 북구 문흥동 745-6
525,지상3/지하1,673.8㎡,1983년 06월 17일,2종일주,광주광역시 북구 문흥동 740-10
526,지상3/지하1,159㎡,1995년 04월 08일,2종일주,광주광역시 북구 문흥동 235
527,지상4/지하0,561㎡,2014년 03월 05일,1종일주,광주광역시 북구 풍향동 752
528,지상5/지하0,248.8㎡,2012년 05월 03일,일반상업,광주광역시 북구 유동 107-2
529,지상5/지하0,202.1㎡,2003년 08월 09일,일반상업,광주광역시 북구 신안동 494-15
530,지상5/지하0,275.4㎡,2012년 11월 23일,준주거,광주광역시 북구 신안동 483-30
531,지상5/지하0,168.6㎡,2012년 02월 28일,준주거,광주광역시 북구 신안동 483-5
532,지상5/지하0,328.4㎡,2013년 08월 07일,준주거,광주광역시 북구 신안동 482-20
533,지상4/지하0,212.9㎡,2000년 08월 25일,준주거,광주광역시 북구 신안동 482-11
534,지상4/지하0,145.7㎡,2001년 05월 22일,준주거,광주광역시 북구 신안동 482-10
535,지상4/지하0,362㎡,2012년 06월 05일,준주거,광주광역시 북구 신안동 482-4
536,지상5/지하0,362.6㎡,2014년 05월 09일,준주거,광주광역시 북구 신안동 482-2
537,지상5/지하0,366.3㎡,2013년 10월 22일,준주거,광주광역시 북구 신안동 481-1
538,지상4/지하0,142.8㎡,2002년 08월 19일,2종일주,광주광역시 북구 신안동 478-31
539,지상5/지하0,296.6㎡,2012년 10월 19일,2종일주,광주광역시 북구 신안동 476-60
540,지상5/지하0,296.6㎡,2012년 10월 19일,2종일주,광주광역시 북구 신안동 476-2
541,지상4/지하0,203.3㎡,2002년 07월 25일,2종일주,광주광역시 북구 신안동 475-34
542,지상2/지하1,166.4㎡,1981년 02월 27일,1종일주,광주광역시 북구 신안동 475-27
543,지상2/지하1,366.9㎡,1980년 11월 03일,1종일주,광주광역시 북구 신안동 475-20
544,지상2/지하1,497.9㎡,1979년 08월 16일,1종일주,광주광역시 북구 신안동 475-15
545,지상3/지하0,217.5㎡,1987년 05월 27일,2종일주,광주광역시 북구 신안동 472-19
546,지상3/지하0,219.5㎡,1987년 05월 27일,2종일주,광주광역시 북구 신안동 472-3
547,지상2/지하1,344.5㎡,1979년 12월 28일,1종일주,광주광역시 북구 신안동 261-6
548,지상4/지하0,613.9㎡,2012년 12월 07일,2종일주,광주광역시 북구 신안동 255-9
549,지상0/지하0,370.4㎡,1979년 06월 26일,일반상업,광주광역시 북구 신안동 252-25
550,지상2/지하0,370.4㎡,1979년 06월 26일,일반상업,광주광역시 북구 신안동 252-4
551,지상5/지하0,349.9㎡,2011년 12월 28일,2종일주,광주광역시 북구 신안동 238-4
552,지상5/지하0,343.1㎡,2011년 11월 23일,2종일주,광주광역시 북구 신안동 211-5
553,지상2/지하0,203.6㎡,1980년 12월 08일,준주거,광주광역시 북구 신안동 210-8
554,지상4/지하0,198.7㎡,2001년 05월 04일,일반상업,광주광역시 북구 신안동 124-14
555,지상5/지하0,277.8㎡,2012년 11월 13일,2종일주,광주광역시 북구 용봉동 1427-6
